pattern,level_price,timestamp
пробой вверх,64918.4,2026-08-05 20:00:00
пробой вверх,64870.8,2026-08-05 20:00:00
пробой вверх,64827.3,2026-08-05 20:00:00
пробой вверх,64927.6,2026-08-05 20:00:00
ложный пробой (ЛП),64744.8,2026-08-05 21:00:00
ложный пробой (ЛП),64798.4,2026-08-05 21:00:00
ложный пробой (ЛП),64918.4,2026-08-05 21:00:00
ложный пробой (ЛП),64743.8,2026-08-05 21:00:00
ложный пробой (ЛП),64870.8,2026-08-05 21:00:00
ложный пробой (ЛП),65000.0,2026-08-05 21:00:00
ложный пробой (ЛП),64720.0,2026-08-05 21:00:00
ложный пробой (ЛП),64746.5,2026-08-05 21:00:00
ложный пробой (ЛП),64784.8,2026-08-05 21:00:00
ложный пробой (ЛП),64827.3,2026-08-05 21:00:00
ложный пробой (ЛП),64927.6,2026-08-05 21:00:00
ложный пробой (ЛП),64744.8,2026-08-05 22:00:00
ложный пробой (ЛП),64798.4,2026-08-05 22:00:00
ложный пробой (ЛП),64743.8,2026-08-05 22:00:00
ложный пробой (ЛП),64720.0,2026-08-05 22:00:00
ложный пробой (ЛП),64746.5,2026-08-05 22:00:00
ложный пробой (ЛП),64784.8,2026-08-05 22:00:00
пробой вниз,64600.6,2026-08-06
ложный пробой (ЛП),64720.0,2026-08-06
ложный пробой (ЛП),64415.0,2026-08-06 03:00:00
ложный пробой (ЛП),64555.0,2026-08-06 03:00:00
ложный пробой (ЛП),64534.5,2026-08-06 03:00:00
ложный пробой (ЛП),64580.3,2026-08-06 03:00:00
ложный пробой (ЛП),64870.8,2026-08-06 06:00:00
ложный пробой (ЛП),64784.8,2026-08-06 06:00:00
ложный пробой (ЛП),64827.3,2026-08-06 06:00:00
ложный пробой (ЛП),64927.6,2026-08-06 06:00:00
пробой вниз,64866.5,2026-08-06 09:00:00
пробой вниз,64808.7,2026-08-06 09:00:00
ложный пробой (ЛП),64870.8,2026-08-06 09:00:00
ложный пробой (ЛП),64827.3,2026-08-06 09:00:00
ложный пробой (ЛП),64927.6,2026-08-06 09:00:00
