pattern,level_price,timestamp
ложный пробой (ЛП),60688.0,2026-06-05 20:00:00
ложный пробой (ЛП),60264.4,2026-06-05 20:00:00
ложный пробой (ЛП),60011.0,2026-06-05 20:00:00
ложный пробой (ЛП),59727.1,2026-06-05 20:00:00
ложный пробой (ЛП),59100.0,2026-06-05 20:00:00
ложный пробой (ЛП),61339.5,2026-06-05 21:00:00
ложный пробой (ЛП),61075.1,2026-06-05 21:00:00
ложный пробой (ЛП),60688.0,2026-06-05 21:00:00
ложный пробой (ЛП),60264.4,2026-06-05 21:00:00
ложный пробой (ЛП),60011.0,2026-06-05 21:00:00
