pattern,level_price,timestamp
пробой вниз,78217.8,2026-09-09 21:00:00
ложный пробой (ЛП),78123.2,2026-09-09 21:00:00
ложный пробой (ЛП),78028.0,2026-09-09 21:00:00
ложный пробой (ЛП),77720.6,2026-09-09 23:00:00
ложный пробой (ЛП),77712.7,2026-09-09 23:00:00
ложный пробой (ЛП),78149.9,2026-09-09 23:00:00
ложный пробой (ЛП),78123.2,2026-09-09 23:00:00
ложный пробой (ЛП),78028.0,2026-09-09 23:00:00
ложный пробой (ЛП),77865.6,2026-09-09 23:00:00
пробой вверх,78149.9,2026-09-10 01:00:00
ложный пробой (ЛП),78123.2,2026-09-10 01:00:00
ложный пробой (ЛП),78149.9,2026-09-10 06:00:00
пробой вниз,78217.8,2026-09-10 06:00:00
ложный пробой (ЛП),77875.9,2026-09-10 11:00:00
пробой вниз,77270.0,2026-09-10 15:00:00
пробой вниз,77180.0,2026-09-10 15:00:00
пробой вниз,77270.0,2026-09-10 18:00:00
ложный пробой (ЛП),77180.0,2026-09-10 18:00:00
