timestamp,inst,price,status,reason,direction,level,atr_1h,who_punished
2026-08-16 19:00:00,BTC-USDT-SWAP,63128.9,НЕТ СДЕЛКИ,НЕТ ИМПУЛЬСА (рынок вялый/нет расширения диапазона),,,66.42142857142868,накажут нетерпеливых (рынок вялый — без импульса)
2026-08-16 19:30:00,BTC-USDT-SWAP,63177.5,НЕТ СДЕЛКИ,СЕРЕДИНА ДИАПАЗОНА (лучшее место для наказания за нетерпение),,,71.10000000000011,"накажут тех, кто торгует середину диапазона"
2026-08-16 19:55:00,BTC-USDT-SWAP,63085.7,НЕТ СДЕЛКИ,СЕРЕДИНА ДИАПАЗОНА (лучшее место для наказания за нетерпение),,,76.17142857142868,"накажут тех, кто торгует середину диапазона"
2026-08-16 20:20:00,BTC-USDT-SWAP,63100.6,НЕТ СДЕЛКИ,НЕТ ИМПУЛЬСА (рынок вялый/нет расширения диапазона),,,75.7357142857145,накажут нетерпеливых (рынок вялый — без импульса)
2026-08-16 20:45:00,BTC-USDT-SWAP,63033.6,НЕТ СДЕЛКИ,СЕРЕДИНА ДИАПАЗОНА (лучшее место для наказания за нетерпение),,,80.72142857142899,"накажут тех, кто торгует середину диапазона"
2026-08-16 21:15:00,BTC-USDT-SWAP,63040.0,НЕТ СДЕЛКИ,СЕРЕДИНА ДИАПАЗОНА (лучшее место для наказания за нетерпение),,,84.7000000000002,"накажут тех, кто торгует середину диапазона"
2026-08-16 21:40:00,BTC-USDT-SWAP,62913.6,НЕТ СДЕЛКИ,СЕРЕДИНА ДИАПАЗОНА (лучшее место для наказания за нетерпение),,,106.13571428571439,"накажут тех, кто торгует середину диапазона"
2026-08-16 21:55:00,BTC-USDT-SWAP,62917.9,НЕТ СДЕЛКИ,СЕРЕДИНА ДИАПАЗОНА (лучшее место для наказания за нетерпение),,,106.13571428571439,"накажут тех, кто торгует середину диапазона"
2026-08-16 22:25:00,BTC-USDT-SWAP,62826.1,СДЕЛКА,ЕСТЬ СВИП + ОТКАЗ + РЕТЕСТ (валидный лонг),long,62818.0,117.5,накажут продавцов
2026-08-16 22:50:00,BTC-USDT-SWAP,62772.1,НЕТ СДЕЛКИ,НЕТ ОТКАЗА (нет хвоста/поглощения на M5),,,122.86428571428561,"накажут тех, кто входит без подтверждения (без отказа)"
2026-08-16 23:15:00,BTC-USDT-SWAP,62851.2,НЕТ СДЕЛКИ,НЕТ ОТКАЗА (нет хвоста/поглощения на M5),,,126.73571428571397,"накажут тех, кто входит без подтверждения (без отказа)"
2026-08-16 23:40:00,BTC-USDT-SWAP,62875.8,НЕТ СДЕЛКИ,НЕТ ОТКАЗА (нет хвоста/поглощения на M5),,,127.85714285714234,"накажут тех, кто входит без подтверждения (без отказа)"
