pattern,level_price,timestamp
ложный пробой (ЛП),68602.0,2026-02-15 19:00:00
ложный пробой (ЛП),68387.7,2026-02-15 19:00:00
ложный пробой (ЛП),68418.6,2026-02-15 19:00:00
ложный пробой (ЛП),68384.1,2026-02-15 19:00:00
ложный пробой (ЛП),68602.0,2026-02-15 19:00:00
пробой вниз,68387.7,2026-02-15 19:00:00
пробой вниз,68384.1,2026-02-15 19:00:00
ложный пробой (ЛП),68377.0,2026-02-15 19:00:00
ложный пробой (ЛП),68390.0,2026-02-15 19:00:00
ложный пробой (ЛП),68387.7,2026-02-15 20:00:00
ложный пробой (ЛП),68249.2,2026-02-15 20:00:00
ложный пробой (ЛП),68418.6,2026-02-15 20:00:00
ложный пробой (ЛП),68384.1,2026-02-15 20:00:00
ложный пробой (ЛП),68310.0,2026-02-15 20:00:00
пробой вверх,68377.0,2026-02-15 20:00:00
пробой вверх,68390.0,2026-02-15 20:00:00
ложный пробой (ЛП),68154.8,2026-02-15 20:00:00
ложный пробой (ЛП),68249.2,2026-02-15 20:00:00
ложный пробой (ЛП),68310.0,2026-02-15 20:00:00
пробой вверх,68377.0,2026-02-15 20:00:00
ложный пробой (ЛП),68390.0,2026-02-15 20:00:00
ложный пробой (ЛП),68154.8,2026-02-15 20:00:00
пробой вверх,68602.0,2026-02-15 21:00:00
ложный пробой (ЛП),68387.7,2026-02-15 21:00:00
ложный пробой (ЛП),68249.2,2026-02-15 21:00:00
ложный пробой (ЛП),68418.6,2026-02-15 21:00:00
ложный пробой (ЛП),68384.1,2026-02-15 21:00:00
ложный пробой (ЛП),68310.0,2026-02-15 21:00:00
ложный пробой (ЛП),68721.2,2026-02-15 21:00:00
ложный пробой (ЛП),68154.8,2026-02-15 21:00:00
пробой вверх,68602.0,2026-02-15 21:00:00
ложный пробой (ЛП),68387.7,2026-02-15 21:00:00
ложный пробой (ЛП),68249.2,2026-02-15 21:00:00
ложный пробой (ЛП),68418.6,2026-02-15 21:00:00
ложный пробой (ЛП),68384.1,2026-02-15 21:00:00
ложный пробой (ЛП),68310.0,2026-02-15 21:00:00
ложный пробой (ЛП),68721.2,2026-02-15 21:00:00
ложный пробой (ЛП),68154.8,2026-02-15 21:00:00
ложный пробой (ЛП),68721.2,2026-02-15 22:00:00
ложный пробой (ЛП),68721.2,2026-02-15 22:00:00
ложный пробой (ЛП),68602.0,2026-02-15 23:00:00
пробой вниз,68721.2,2026-02-15 23:00:00
ложный пробой (ЛП),68602.0,2026-02-16 02:00:00
пробой вверх,68602.0,2026-02-16 04:00:00
ложный пробой (ЛП),68387.7,2026-02-16 04:00:00
ложный пробой (ЛП),68249.2,2026-02-16 04:00:00
ложный пробой (ЛП),68418.6,2026-02-16 04:00:00
ложный пробой (ЛП),68384.1,2026-02-16 04:00:00
ложный пробой (ЛП),68310.0,2026-02-16 04:00:00
ложный пробой (ЛП),68154.8,2026-02-16 04:00:00
ложный пробой (ЛП),68602.0,2026-02-16 05:00:00
пробой вниз,68418.6,2026-02-16 05:00:00
ложный пробой (ЛП),68390.0,2026-02-16 05:00:00
пробой вниз,68721.2,2026-02-16 05:00:00
ложный пробой (ЛП),68387.7,2026-02-16 07:00:00
ложный пробой (ЛП),68249.2,2026-02-16 07:00:00
ложный пробой (ЛП),68418.6,2026-02-16 07:00:00
ложный пробой (ЛП),68384.1,2026-02-16 07:00:00
ложный пробой (ЛП),68310.0,2026-02-16 07:00:00
ложный пробой (ЛП),68602.0,2026-02-16 08:00:00
ложный пробой (ЛП),68387.7,2026-02-16 08:00:00
ложный пробой (ЛП),68418.6,2026-02-16 08:00:00
ложный пробой (ЛП),68384.1,2026-02-16 08:00:00
ложный пробой (ЛП),68721.2,2026-02-16 09:00:00
ложный пробой (ЛП),68721.2,2026-02-16 10:00:00
ложный пробой (ЛП),68721.2,2026-02-16 11:00:00
ложный пробой (ЛП),68721.2,2026-02-16 11:00:00
